Longitud de onda [nm]	Absorbancia
400	0.01
402	0.009
404	0.007
406	0.005
408	0.003
410	0.001
412	0.0
414	-0.001
416	0.0
418	-0.001
420	0.0
422	0.001
424	0.002
426	0.002
428	0.004
430	0.005
432	0.006
434	0.007
436	0.008
438	0.01
440	0.012
442	0.013
444	0.014
446	0.016
448	0.018
450	0.02
452	0.025
454	0.028
456	0.03
458	0.031
460	0.033
462	0.036
464	0.038
466	0.038
468	0.042
470	0.044
472	0.045
474	0.046
476	0.05
478	0.051
480	0.053
482	0.056
484	0.058
486	0.06
488	0.062
490	0.064
492	0.065
494	0.067
496	0.068
498	0.07
500	0.069
502	0.07
504	0.071
506	0.071
508	0.072
510	0.072
512	0.073
514	0.073
516	0.075
518	0.076
520	0.078
522	0.081
524	0.083
526	0.087
528	0.092
530	0.096
532	0.103
534	0.107
536	0.115
538	0.122
540	0.13
542	0.139
544	0.149
546	0.162
548	0.17
550	0.184
552	0.195
554	0.21
556	0.224
558	0.236
560	0.253
562	0.265
564	0.279
566	0.3
568	0.315
570	0.334
572	0.352
574	0.378
576	0.405
578	0.43
580	0.457
582	0.491
584	0.533
586	0.57
588	0.614
590	0.658
592	0.702
594	0.755
596	0.806
598	0.848
600	0.889
602	0.926
604	0.971
606	0.998
608	1.017
610	1.032
612	1.04
614	1.041
616	1.037
618	1.033
620	1.027
622	1.026
624	1.028
626	1.036
628	1.051
630	1.067
632	1.093
634	1.13
636	1.173
638	1.213
640	1.256
642	1.312
644	1.369
646	1.426
648	1.47
650	1.527
652	1.574
654	1.615
656	1.655
658	1.681
660	1.702
662	1.713
664	1.702
666	1.67
668	1.613
670	1.544
672	1.418
674	1.306
676	1.151
678	1.016
680	0.882
682	0.751
684	0.621
686	0.514
688	0.422
690	0.358
692	0.293
694	0.241
696	0.199
698	0.169
700	0.138
702	0.117
704	0.101
706	0.085
708	0.075
710	0.065
712	0.055
714	0.049
716	0.046
718	0.042
720	0.037
